name,categories,difficulty,series
Rinoa Heartilly,"Character, Cutscene, Screen, Other",Normal,"Square Enix, Final Fantasy"
Tifa Lockhart,Character,Tough,"Square Enix, Final Fantasy"
Seifer,"Adversary, Cutscene, Screen",Tough,"Square Enix, Final Fantasy"
Zidane Tribal,"Character, Town & City",Normal,"Square Enix, Final Fantasy"
Garnet Til Alexandros XVII,"Cutscene, Character, Town & City, Locale",Normal,"Square Enix, Final Fantasy"
Tidus,"Character, Aquatic",Tough,"Square Enix, Final Fantasy"
Yuna,"Character, Vocals",Normal,"Square Enix, Final Fantasy"
Lightning,"Character, Object, Screen",Tough,"Square Enix, Final Fantasy"
Lapras,"Battle, Aquatic",Easy,"Nintendo, Pokemon"
Peashooter,Nature,Easy,PopCap
Gatling Pea,Nature,Tough,PopCap
Snow Pea,"Nature, Snowy",Normal,PopCap
Isaac,"Character, Nature, Town & City, Locale",Tough,"Nintendo, Golden Sun"
Felix,"Adversary, Nature, Town & City, Locale",Tough,"Nintendo, Golden Sun"
Mia,"Town & City, Snowy, Aquatic, Locale",Normal,"Nintendo, Golden Sun"
Ivan,"Town & City, Locale, Nature",Normal,"Nintendo, Golden Sun"
Pikachu,"Battle, Nature, Forest",Easy,"Nintendo, Pokemon"
Junpei,"Character, Locale, Cutscene",Easy,999
Akane Kurashiki,"Character, Cutscene, Locale",Normal,999
Pit,"Character, Town & City",Normal,"Nintendo, Kid Icarus"
Dark Pit,Adversary,Tough,"Nintendo, Kid Icarus"
Palutena,"Character, Town & City, Cutscene, Locale, Screen",Tough,"Nintendo, Kid Icarus"
Viridi,"Character, Nature, Forest",Tough,"Nintendo, Kid Icarus"
Hades,Final Boss,Merciless,"Nintendo, Kid Icarus"
Pyrrhon,"Fiery, Space, Boss",Tough,"Nintendo, Kid Icarus"
Medusa,"Boss, Spooky, Dungeon",Lunatic,"Nintendo, Kid Icarus"
Phosphora,Boss,Tough,"Nintendo, Kid Icarus"
Poseidon,"Character, Aquatic",Lunatic,"Nintendo, Kid Icarus"
Reaper,"Battle, Spooky",Lunatic,"Nintendo, Kid Icarus"
Eggplant Wizard,Battle,Tough,"Nintendo, Kid Icarus"
Sora,"Character, Object",Normal,"Square Enix, Kingdom Hearts"
Riku (Kingdom Hearts),"Adversary, Object",Tough,"Square Enix, Kingdom Hearts"
Kairi,"Cutscene, Character, Credits",Easy,"Square Enix, Kingdom Hearts"
Roxas,"Character, Town & City",Lunatic,"Square Enix, Kingdom Hearts"
Axel,"Fiery, Boss",Tough,"Square Enix, Kingdom Hearts"
Xion,"Character, Object",Normal,"Square Enix, Kingdom Hearts"
Ventus,"Character, Object",Normal,"Square Enix, Kingdom Hearts"
Terra (Kingdom Hearts),"Character, Nature",Tough,"Square Enix, Kingdom Hearts"
Aqua,"Character, Locale, Credits",Lunatic,"Square Enix, Kingdom Hearts"
Vanitas,Boss,Lunatic,"Square Enix, Kingdom Hearts"
Master Xehanort,Final Boss,Merciless,"Square Enix, Kingdom Hearts"
Master Eraqus,"Character, Town & City, Locale, Object",Tough,"Square Enix, Kingdom Hearts"
Shadow,Battle,Easy,"Square Enix, Kingdom Hearts"
Samurai,Battle,Normal,"Square Enix, Kingdom Hearts"
Tippi,"Character, Credits, Screen, Other",Easy,"Nintendo, Mario"
Count Bleck,Boss,Lunatic,"Nintendo, Mario"
Dimentio,Boss,Tough,"Nintendo, Mario"
Jestabocky,"Other, Battle",Easy,"Square Enix, Kingdom Hearts"
"Ansem, Seeker of Darkness",Final Boss,Lunatic,"Square Enix, Kingdom Hearts"
Xemnas,Final Boss,Lunatic,"Square Enix, Kingdom Hearts"
Xigbar,Boss,Tough,"Square Enix, Kingdom Hearts"
Knuckles the Echidna,"Adversary, Nature, Locale",Tough,"SEGA, Sonic"
Rouge the Bat,"Adversary, Object",Tough,"SEGA, Sonic"
Infinite,Final Boss,Normal,"SEGA, Sonic"
Pixie,Battle,Easy,"SEGA, Persona"
Arsène,"Character, Screen, Other",Normal,"SEGA, Persona"
Tostarenan,"Character, Desert",Easy,"Nintendo, Mario"
Eevee,Nature,Easy,"Pokemon, Nintendo"
Marin,"Cutscene, Character, Locale, Nature, Town & City",Easy,"Nintendo, The Legend of Zelda"
Banjo & Kazooie,"Character, Nature, Forest",Normal,"Rare, Banjo-Kazooie"
Gruntilda,Final Boss,Tough,"Rare, Banjo-Kazooie"
Tetra,"Character, Aquatic, Object",Tough,"Nintendo, The Legend of Zelda"
Ryu Hayabusa,"Character, Object",Lunatic,"Ninja Gaiden, Koei Tecmo"
Luke fon Fabre,"Character, Town & City, Object",Easy,"Tales, Namco"
Tear Grants,"Character, Vocals",Tough,"Tales, Namco"
Jade Curtiss,"Character, Town & City",Merciless,"Tales, Namco"
Guy Cecil,"Town & City, Cutscene, Character",Tough,"Tales, Namco"
Van Grants,Final Boss,Lunatic,"Tales, Namco"
Yuri Lowell,"Character, Town & City",Tough,"Tales, Namco"
Sorey,"Character, Nature",Normal,"Tales, Namco"
Mikleo,"Character, Aquatic, Nature",Normal,"Tales, Namco"
Lailah,"Character, Object, Fiery",Tough,"Tales, Namco"
Alisha Diphda,"Character, Town & City, Locale",Normal,"Tales, Namco"
Emil Castagnier,"Character, Town & City, Locale",Easy,"Tales, Namco"
Sheena Fujibayashi,"Character, Nature, Locale",Normal,"Tales, Namco"
Velvet Crowe,"Character, Spooky, Cutscene, Dungeon",Lunatic,"Tales, Namco"
Martha Lualdi,Character,Easy,"Tales, Namco"
Zelos Wilder,"Character, Town & City, Locale",Tough,"Tales, Namco"
Alphen,"Character, Fiery",Tough,"Tales, Namco"
Shionne,Character,Tough,"Tales, Namco"
Law,"Character, Snowy",Normal,"Tales, Namco"
Caterkiller,Battle,Easy,"SEGA, Sonic"
